rsu_id,x,y
0,126.52,124.42
1,379.55,124.42
2,632.58,124.42
3,885.62,124.42
4,1138.65,124.42
5,1391.69,124.42
6,1644.72,124.42
7,1897.75,124.42
8,126.52,373.26
9,379.55,373.26
10,632.58,373.26
11,885.62,373.26
12,1138.65,373.26
13,1391.69,373.26
14,1644.72,373.26
15,1897.75,373.26
16,126.52,622.10
17,379.55,622.10
18,632.58,622.10
19,885.62,622.10
20,1138.65,622.10
21,1391.69,622.10
22,1644.72,622.10
23,1897.75,622.10
24,126.52,870.94
25,379.55,870.94
26,632.58,870.94
27,885.62,870.94
28,1138.65,870.94
29,1391.69,870.94
30,1644.72,870.94
31,1897.75,870.94
32,126.52,1119.79
33,379.55,1119.79
34,632.58,1119.79
35,885.62,1119.79
36,1138.65,1119.79
37,1391.69,1119.79
38,1644.72,1119.79
39,1897.75,1119.79
40,126.52,1368.63
41,379.55,1368.63
42,632.58,1368.63
43,885.62,1368.63
44,1138.65,1368.63
45,1391.69,1368.63
46,1644.72,1368.63
47,1897.75,1368.63
48,126.52,1617.47
49,379.55,1617.47
50,632.58,1617.47
51,885.62,1617.47
52,1138.65,1617.47
53,1391.69,1617.47
54,1644.72,1617.47
55,1897.75,1617.47
56,126.52,1866.31
57,379.55,1866.31
58,632.58,1866.31
59,885.62,1866.31
60,1138.65,1866.31
61,1391.69,1866.31
62,1644.72,1866.31
63,1897.75,1866.31
