rsu_id,x,y
0,153.42,163.27
1,460.27,163.27
2,767.12,163.27
3,1073.97,163.27
4,1380.81,163.27
5,1687.66,163.27
6,1994.51,163.27
7,2301.36,163.27
8,153.42,489.80
9,460.27,489.80
10,767.12,489.80
11,1073.97,489.80
12,1380.81,489.80
13,1687.66,489.80
14,1994.51,489.80
15,2301.36,489.80
16,153.42,816.33
17,460.27,816.33
18,767.12,816.33
19,1073.97,816.33
20,1380.81,816.33
21,1687.66,816.33
22,1994.51,816.33
23,2301.36,816.33
24,153.42,1142.87
25,460.27,1142.87
26,767.12,1142.87
27,1073.97,1142.87
28,1380.81,1142.87
29,1687.66,1142.87
30,1994.51,1142.87
31,2301.36,1142.87
32,153.42,1469.40
33,460.27,1469.40
34,767.12,1469.40
35,1073.97,1469.40
36,1380.81,1469.40
37,1687.66,1469.40
38,1994.51,1469.40
39,2301.36,1469.40
40,153.42,1795.94
41,460.27,1795.94
42,767.12,1795.94
43,1073.97,1795.94
44,1380.81,1795.94
45,1687.66,1795.94
46,1994.51,1795.94
47,2301.36,1795.94
48,153.42,2122.47
49,460.27,2122.47
50,767.12,2122.47
51,1073.97,2122.47
52,1380.81,2122.47
53,1687.66,2122.47
54,1994.51,2122.47
55,2301.36,2122.47
56,153.42,2449.00
57,460.27,2449.00
58,767.12,2449.00
59,1073.97,2449.00
60,1380.81,2449.00
61,1687.66,2449.00
62,1994.51,2449.00
63,2301.36,2449.00
