rsu_id,x,y
0,3031.66,1488.99
1,3090.84,724.56
2,3100.80,463.65
3,3109.04,1325.50
4,3116.05,890.78
5,3129.18,1136.86
6,3141.66,261.15
7,3207.72,597.13
8,3235.64,1512.15
9,3251.13,400.56
10,3300.33,881.63
11,3329.62,1274.39
12,3415.55,1505.35
13,3424.07,519.42
14,3424.66,737.53
15,3441.27,1155.59
16,3444.83,980.43
17,3453.18,324.35
18,3495.31,1315.01
19,3557.56,647.88
20,3574.50,834.46
21,3581.40,1077.22
22,3585.27,1465.68
23,3590.83,464.80
24,3707.88,318.87
25,3710.81,1295.28
26,3713.86,735.10
27,3713.88,976.36
28,3744.91,508.82
29,3812.26,1447.30
30,3853.66,1188.19
31,3861.18,262.72
32,3914.52,618.17
33,3921.34,783.99
34,3975.60,443.85
35,3987.52,1447.06
36,3993.65,995.49
37,4073.00,708.57
38,4093.64,304.63
39,4139.10,1204.31
40,4146.93,1473.64
41,4172.16,1023.12
42,4227.18,588.46
43,4257.25,1313.65
44,4258.86,806.73
45,4288.67,433.07
46,4364.60,1096.27
47,4398.95,1457.12
