rsu_id,x,y
0,153.42,326.53
1,460.27,326.53
2,767.12,326.53
3,1073.97,326.53
4,1380.81,326.53
5,1687.66,326.53
6,1994.51,326.53
7,2301.36,326.53
8,153.42,979.60
9,460.27,979.60
10,767.12,979.60
11,1073.97,979.60
12,1380.81,979.60
13,1687.66,979.60
14,1994.51,979.60
15,2301.36,979.60
16,153.42,1632.67
17,460.27,1632.67
18,767.12,1632.67
19,1073.97,1632.67
20,1380.81,1632.67
21,1687.66,1632.67
22,1994.51,1632.67
23,2301.36,1632.67
24,153.42,2285.74
25,460.27,2285.74
26,767.12,2285.74
27,1073.97,2285.74
28,1380.81,2285.74
29,1687.66,2285.74
30,1994.51,2285.74
31,2301.36,2285.74
