rsu_id,x,y
0,10.00,1144.82
1,108.92,2335.23
2,136.30,503.80
3,186.37,770.73
4,187.57,1791.84
5,190.01,945.91
6,207.91,1122.61
7,238.68,1963.47
8,243.62,2166.88
9,272.62,1294.11
10,273.94,1637.60
11,312.87,2900.46
12,313.57,2700.49
13,313.81,498.49
14,341.57,842.93
15,344.74,1450.12
16,379.80,1094.02
17,404.40,244.65
18,406.68,1905.27
19,408.71,2386.89
20,410.24,1723.20
21,447.23,2177.06
22,462.99,1265.32
23,471.50,571.63
24,493.68,2525.66
25,557.66,847.75
26,560.77,1842.53
27,572.60,2016.89
28,580.49,453.77
29,612.26,1488.56
30,643.03,628.71
31,649.99,1218.95
32,653.39,2206.50
33,654.09,979.49
34,681.16,1644.94
35,748.28,488.20
36,767.14,2361.32
37,793.46,2538.91
38,813.61,1783.79
39,859.27,2011.36
40,862.41,2210.76
41,869.32,1409.05
42,873.54,915.88
43,878.18,631.49
44,919.68,371.96
45,931.15,172.32
46,948.37,1595.18
47,960.84,1182.97
48,1005.35,2541.62
49,1027.75,2323.27
50,1097.41,1801.19
51,1101.09,2032.17
52,1105.27,1403.07
53,1116.25,1003.27
54,1121.70,1191.89
55,1128.21,836.90
56,1139.26,1561.60
57,1158.76,2200.65
58,1194.01,441.78
59,1195.99,251.08
60,1233.32,610.26
61,1276.55,2328.87
62,1296.60,1849.91
63,1296.94,1235.96
64,1301.83,1621.34
65,1316.86,1019.25
66,1317.88,854.69
67,1355.03,482.98
68,1364.04,277.59
69,1367.94,2729.96
70,1380.92,78.33
71,1401.33,2497.27
72,1466.04,1974.06
73,1521.00,730.39
74,1529.82,2121.74
75,1533.80,906.18
76,1579.28,1493.36
77,1580.33,1307.02
78,1612.57,2304.17
79,1623.30,2498.53
80,1629.30,1699.17
81,1630.87,509.48
82,1688.49,859.81
83,1710.53,1034.51
84,1718.75,1957.39
85,1727.52,334.39
86,1734.67,1577.84
87,1744.30,1264.63
88,1749.75,79.88
89,1798.00,2332.04
90,1820.93,2167.59
91,1822.52,561.08
92,1839.63,787.83
93,1851.81,1451.36
94,1890.77,1638.95
95,1905.34,1824.52
96,1948.73,2269.48
97,1961.70,1288.55
98,1979.79,2579.67
99,1984.19,899.37
100,1988.17,601.47
101,2013.15,2053.40
102,2081.63,1529.59
103,2087.09,2367.83
104,2115.19,364.73
105,2172.93,1753.55
106,2179.20,1925.08
107,2190.78,1290.97
108,2215.13,212.66
109,2237.81,628.43
110,2255.98,1507.26
111,2266.87,1051.81
112,2271.54,2231.03
113,2271.79,2410.90
114,2345.22,1781.37
115,2350.77,805.57
116,2354.66,1301.96
117,2355.73,1974.48
118,2397.91,636.77
119,2441.42,1510.21
120,2545.77,1667.06
121,2634.52,561.56
