scenario,claimed_id,n_broadcasts,single_beacon,lifetime_s,iat_mean,iat_std,iat_cv,beacon_rate,first_seen_s,birth_churn,label
baseline,0,118,0,116.99157,0.9999279487179487,0.007593912940043431,0.00759446013063233,1.0086196808881187,1.01643,20,0
baseline,1,118,0,116.98602000000001,0.9998805128205129,0.008245001992520352,0.0082459872822828,1.008667531385374,1.06898,20,0
baseline,2,123,0,117.00532,0.95906,0.19823143706946036,0.20669346763441324,1.0512342515707833,1.10568,20,0
baseline,3,103,0,117.00207,1.147079117647059,0.9843360687615327,0.8581239546759841,0.8803263053380166,1.16093,20,0
baseline,4,109,0,111.99216,1.0369644444444444,0.38231876052905084,0.3686903274045031,0.9732824154833696,1.20984,20,0
baseline,5,91,0,99.00692,1.1000768888888888,1.0663200260383006,0.9693140877773702,0.9191276730959816,1.25808,20,0
baseline,6,86,0,117.00605,1.3765417647058824,2.479062844687211,1.8009354370856288,0.7350047283879765,1.30095,20,0
baseline,7,122,0,117.00299,0.9669668595041322,0.17890056606183413,0.18501209664370055,1.042708395742707,1.35301,20,0
baseline,8,114,0,116.98876,1.0352987610619468,0.478454141657549,0.46214113225324416,0.9744525884367011,1.41324,20,0
baseline,9,128,0,116.99849999999999,0.921248031496063,0.26923870804018574,0.29225431027836757,1.094031120057095,1.4595,20,0
baseline,10,123,0,117.00279,0.959039262295082,0.19837959152357945,0.206852419210488,1.0512569828463065,1.51821,20,0
baseline,11,109,0,116.9984,1.0833185185185186,0.6257914781237036,0.5776615717596137,0.9316366719544882,1.5706,20,0
baseline,12,108,0,116.98683,1.0933348598130839,0.9892574125526687,0.9048073457767475,0.9231808400996933,1.61617,20,0
baseline,13,108,0,106.99851,0.9999860747663553,0.009243708115941964,0.009243836838529714,1.009359849964266,1.65649,20,0
baseline,14,119,0,117.00707,0.9915853389830508,0.09205452754663505,0.09283570856447339,1.017032560511087,1.70693,20,0
baseline,15,103,0,116.98417,1.1469036274509805,1.0607799410023364,0.9249076518834839,0.8804610059634563,1.76883,20,0
baseline,16,108,0,116.99020999999999,1.0933664485981307,0.9628307128823996,0.8806111748873412,0.9231541681992024,1.81879,20,0
baseline,17,116,0,117.00784,1.0174594782608695,0.18676925073164083,0.1835643135890612,0.9913865600800766,1.85716,20,0
baseline,18,125,0,117.0054,0.9435919354838709,0.23088257243525018,0.24468476653189533,1.0683267609870999,1.9026,20,0
baseline,19,119,0,117.01230000000001,0.9916296610169493,0.09209037387752335,0.09286770807468749,1.0169871030652333,1.9557,20,0
baseline,20,107,0,115.0039,1.0849424528301888,0.6160992631901269,0.5678635411334176,0.930403229803511,2.0041,20,0
baseline,21,118,0,117.00413999999999,1.0000353846153847,0.008492298928522692,0.00849199844242396,1.0085113227617417,2.06686,20,0
baseline,22,118,0,117.00929,1.0000794017094017,0.008459924863843107,0.008459253184679981,1.0084669345485304,2.10971,20,0
baseline,23,107,0,116.98787,1.1036591509433962,1.0649719369959487,0.9649464112952101,0.9146247384451055,2.16713,20,0
baseline,24,115,0,116.98408,1.0261761403508773,0.383988789030217,0.3741938385927789,0.9830397435274953,2.21892,20,0
baseline,25,105,0,116.99273,1.1249300961538462,1.2682504710165274,1.1274038052254944,0.8974916646530088,2.26927,20,0
