receive_time,flow,receiver_role,receiver_id,real_node_id,claimed_node_id,destination_id,message_type,sequence_number,channel,packet_size,delay,rsu_aggregated_count,status
1.0006,v2v_beacon,vehicle,3,0,0,4294967295,1,0,wifi,120,0.000598084,0,received_tagged
1.0006,v2v_beacon,vehicle,1,0,0,4294967295,1,0,wifi,120,0.00059812,0,received_tagged
1.0006,v2v_beacon,vehicle,4,0,0,4294967295,1,0,wifi,120,0.000598155,0,received_tagged
1.0006,v2v_beacon,vehicle,2,0,0,4294967295,1,0,wifi,120,0.00059824,0,received_tagged
1.0006,v2v_beacon,vehicle,5,0,0,4294967295,1,0,wifi,120,0.000598264,0,received_tagged
1.0506,v2v_beacon,vehicle,4,1,1,4294967295,1,1,wifi,120,0.000598084,0,received_tagged
1.0506,v2v_beacon,vehicle,0,1,1,4294967295,1,1,wifi,120,0.00059812,0,received_tagged
1.0506,v2v_beacon,vehicle,2,1,1,4294967295,1,1,wifi,120,0.00059812,0,received_tagged
1.0506,v2v_beacon,vehicle,3,1,1,4294967295,1,1,wifi,120,0.000598138,0,received_tagged
1.0506,v2v_beacon,vehicle,5,1,1,4294967295,1,1,wifi,120,0.000598155,0,received_tagged
1.1006,v2v_beacon,vehicle,5,2,2,4294967295,1,2,wifi,120,0.000598084,0,received_tagged
1.1006,v2v_beacon,vehicle,1,2,2,4294967295,1,2,wifi,120,0.00059812,0,received_tagged
1.1006,v2v_beacon,vehicle,4,2,2,4294967295,1,2,wifi,120,0.000598138,0,received_tagged
1.1006,v2v_beacon,vehicle,0,2,2,4294967295,1,2,wifi,120,0.000598241,0,received_tagged
1.1006,v2v_beacon,vehicle,3,2,2,4294967295,1,2,wifi,120,0.000598244,0,received_tagged
1.10793,v2rsu_report,rsu_edge,0,0,0,0,2,72,wifi,160,0.00792739,1,received_tagged
1.1506,v2v_beacon,vehicle,0,3,3,4294967295,1,3,wifi,120,0.000598084,0,received_tagged
1.1506,v2v_beacon,vehicle,4,3,3,4294967295,1,3,wifi,120,0.000598121,0,received_tagged
1.1506,v2v_beacon,vehicle,1,3,3,4294967295,1,3,wifi,120,0.000598137,0,received_tagged
1.1506,v2v_beacon,vehicle,5,3,3,4294967295,1,3,wifi,120,0.000598241,0,received_tagged
1.1506,v2v_beacon,vehicle,2,3,3,4294967295,1,3,wifi,120,0.000598244,0,received_tagged
1.15785,v2rsu_report,rsu_edge,0,1,1,0,2,73,wifi,160,0.0078494,2,received_tagged
1.2006,v2v_beacon,vehicle,1,4,4,4294967295,1,4,wifi,120,0.000598084,0,received_tagged
1.2006,v2v_beacon,vehicle,3,4,4,4294967295,1,4,wifi,120,0.000598121,0,received_tagged
1.2006,v2v_beacon,vehicle,5,4,4,4294967295,1,4,wifi,120,0.000598121,0,received_tagged
1.2006,v2v_beacon,vehicle,2,4,4,4294967295,1,4,wifi,120,0.000598137,0,received_tagged
1.2006,v2v_beacon,vehicle,0,4,4,4294967295,1,4,wifi,120,0.000598157,0,received_tagged
1.20282,v2rsu_report,rsu_edge,1,2,2,1,2,74,wifi,160,0.00282335,1,received_tagged
1.2506,v2v_beacon,vehicle,2,5,5,4294967295,1,5,wifi,120,0.000598084,0,received_tagged
1.2506,v2v_beacon,vehicle,4,5,5,4294967295,1,5,wifi,120,0.000598121,0,received_tagged
1.2506,v2v_beacon,vehicle,1,5,5,4294967295,1,5,wifi,120,0.000598157,0,received_tagged
1.2506,v2v_beacon,vehicle,3,5,5,4294967295,1,5,wifi,120,0.000598242,0,received_tagged
1.25493,v2rsu_report,rsu_edge,0,3,3,0,2,75,wifi,160,0.00492717,3,received_tagged
1.30581,v2rsu_report,rsu_edge,0,4,4,0,2,76,wifi,160,0.00581025,4,received_tagged
1.35185,v2rsu_report,rsu_edge,1,5,5,1,2,77,wifi,160,0.00184911,2,received_tagged
2.0006,v2v_beacon,vehicle,3,0,0,4294967295,1,6,wifi,120,0.000598086,0,received_tagged
2.0006,v2v_beacon,vehicle,1,0,0,4294967295,1,6,wifi,120,0.000598123,0,received_tagged
2.0006,v2v_beacon,vehicle,4,0,0,4294967295,1,6,wifi,120,0.000598166,0,received_tagged
2.0006,v2v_beacon,vehicle,2,0,0,4294967295,1,6,wifi,120,0.000598247,0,received_tagged
2.00903,rsu2controller_report,sdn_controller,0,0,0,0,3,78,csma,196,0.00903496,0,received_tagged
2.0506,v2v_beacon,vehicle,4,1,1,4294967295,1,7,wifi,120,0.000598086,0,received_tagged
2.0506,v2v_beacon,vehicle,0,1,1,4294967295,1,7,wifi,120,0.000598124,0,received_tagged
2.0506,v2v_beacon,vehicle,2,1,1,4294967295,1,7,wifi,120,0.000598124,0,received_tagged
2.0506,v2v_beacon,vehicle,3,1,1,4294967295,1,7,wifi,120,0.000598133,0,received_tagged
2.0506,v2v_beacon,vehicle,5,1,1,4294967295,1,7,wifi,120,0.000598166,0,received_tagged
2.1006,v2v_beacon,vehicle,5,2,2,4294967295,1,8,wifi,120,0.000598086,0,received_tagged
2.10099,v2rsu_report,rsu_edge,0,0,0,0,2,79,wifi,160,0.000988128,1,received_tagged
2.10303,rsu2controller_report,sdn_controller,0,1,1,0,3,80,csma,188,0.0030349,0,received_tagged
2.1506,v2v_beacon,vehicle,0,3,3,4294967295,1,9,wifi,120,0.000598086,0,received_tagged
2.15173,v2rsu_report,rsu_edge,0,1,1,0,2,81,wifi,160,0.00172614,2,received_tagged
2.2006,v2v_beacon,vehicle,1,4,4,4294967295,1,10,wifi,120,0.000598086,0,received_tagged
2.2006,v2v_beacon,vehicle,3,4,4,4294967295,1,10,wifi,120,0.000598124,0,received_tagged
2.2006,v2v_beacon,vehicle,0,4,4,4294967295,1,10,wifi,120,0.000598168,0,received_tagged
2.20095,v2rsu_report,rsu_edge,1,2,2,1,2,82,wifi,160,0.000949117,1,received_tagged
2.25025,v2rsu_report,rsu_edge,0,3,3,0,2,83,wifi,160,0.000250044,3,received_tagged
